ano,mes,dia,Acidentes
2011,1,26,430
2011,1,27,503
2011,1,28,562
2011,1,29,552
2011,1,30,537
2011,1,31,558
2011,2,1,448
2011,2,2,443
2011,2,3,477
2011,2,4,571
2011,2,5,571
2011,2,6,558
2011,2,7,469
2011,2,8,445
2011,2,9,463
2011,2,10,528
2011,2,11,557
2011,2,12,531
2011,2,13,508
2011,2,14,588
2011,2,15,482
2011,2,16,471
2011,2,17,488
2011,2,18,562
2011,2,19,539
2011,2,20,525
2011,2,21,487
2011,2,22,477
2011,2,23,522
2011,2,24,485
2011,2,25,583
2011,2,26,580
2011,2,27,534
2011,2,28,586
2011,3,1,483
2011,3,2,538
2011,3,3,613
2011,3,4,1001
2011,3,5,1100
2011,3,6,632
2011,3,7,431
2011,3,8,528
2011,3,9,623
2011,3,10,563
2011,3,11,525
2011,3,12,434
2011,3,13,496
2011,3,14,399
2011,3,15,395
2011,3,16,437
2011,3,17,443
2011,3,18,531
2011,3,19,548
2011,3,20,442
2011,3,21,424
2011,3,22,466
2011,3,23,483
2011,3,24,440
2011,3,25,536
2011,3,26,541
2011,3,27,512
2011,3,28,468
